,ID,condition,coords
e2130,e2130,e,"[[575 431]
 [615 405]
 [630 398]
 [646 386]
 [655 380]]"
d412,d412,d,"[[328 377]
 [345 382]
 [364 384]
 [387 393]
 [401 399]
 [409 406]
 [415 411]
 [421 418]
 [429 432]
 [432 447]]"
d463,d463,d,"[[582 442]
 [619 459]
 [639 468]
 [664 473]
 [682 477]
 [695 479]
 [710 479]]"
v520,v520,v,"[[477 634]
 [498 652]
 [513 666]
 [538 675]
 [546 674]]"
e76,e76,e,"[[1059  409]
 [1017  411]
 [ 987  419]
 [ 960  432]
 [ 943  444]
 [ 929  462]]"
d1891,d1891,d,"[[638 618]
 [656 621]
 [697 635]
 [777 651]
 [786 651]]"
d2087,d2087,d,"[[587 506]
 [614 508]
 [671 519]
 [693 521]
 [710 525]
 [735 532]
 [757 535]
 [809 557]]"
v1029,v1029,v,"[[319 567]
 [326 599]
 [336 616]
 [339 629]
 [348 641]
 [368 657]]"
e183,e183,e,"[[447 629]
 [430 601]
 [423 583]
 [414 569]
 [409 556]
 [405 547]]"
e4067,e4067,e,"[[695 598]
 [749 648]
 [785 676]
 [815 690]
 [841 688]
 [857 681]
 [869 671]
 [873 661]
 [879 649]
 [890 624]
 [903 610]]"
v6021,v6021,v,"[[ 500 2873]
 [ 498 2873]
 [ 518 2799]
 [ 536 2748]
 [ 545 2729]
 [ 546 2716]]"
v25,v25,v,"[[509 374]
 [531 375]
 [541 374]
 [543 374]
 [548 375]
 [556 378]
 [574 382]
 [588 391]]"
d1003c,d1003c,d,"[[ 686 1672]
 [ 680 1704]
 [ 684 1736]
 [ 678 1760]
 [ 676 1780]
 [ 666 1806]]"
v1046,v1046,v,"[[717 542]
 [722 553]
 [722 567]
 [728 576]
 [732 578]
 [732 585]
 [733 590]
 [741 606]
 [744 619]
 [747 636]]"
e273,e273,e,"[[736 541]
 [787 492]
 [821 455]
 [848 415]]"
d115,d115,d,"[[443 294]
 [436 299]
 [426 303]
 [416 307]
 [406 310]
 [397 311]
 [385 312]
 [369 312]
 [359 312]
 [349 312]
 [337 314]
 [333 314]
 [323 313]
 [317 313]
 [308 311]
 [303 311]]"
e4051,e4051,e,"[[557 509]
 [581 510]
 [596 511]
 [614 513]
 [646 520]
 [677 531]
 [705 546]]"
d176,d176,d,"[[764 724]
 [786 738]
 [816 748]
 [838 749]
 [879 744]
 [911 736]]"
v290,v290,v,"[[450 843]
 [461 844]
 [494 830]
 [517 820]
 [523 814]
 [536 807]
 [553 798]
 [575 766]]"
e4020,e4020,e,"[[966 293]
 [962 311]
 [958 324]
 [954 332]
 [952 338]
 [946 352]
 [943 355]
 [943 356]]"
v6005,v6005,v,"[[2961 3160]
 [2927 3214]
 [2901 3266]
 [2871 3314]
 [2855 3350]]"
e202,e202,e,"[[478 356]
 [483 386]
 [486 406]
 [488 422]
 [491 441]
 [494 454]]"
e89,e89,e,"[[880 271]
 [872 273]
 [863 273]
 [852 272]
 [841 272]
 [832 273]
 [814 274]
 [800 271]
 [793 267]
 [784 263]]"
e321a,e321a,e,"[[696 623]
 [677 621]
 [648 617]
 [613 609]
 [597 603]]"
v27,v27,v,"[[720 621]
 [737 610]
 [749 602]
 [758 594]
 [760 588]
 [765 582]
 [769 574]
 [775 565]
 [784 558]
 [793 554]
 [801 549]
 [809 545]
 [815 540]
 [833 521]]"
e193,e193,e,"[[643 774]
 [658 784]
 [676 788]
 [695 798]
 [712 814]]"
e324,e324,e,"[[584 411]
 [645 384]
 [668 378]
 [693 370]
 [745 369]]"
e4018,e4018,e,"[[914 167]
 [947 222]
 [983 289]]"
v170,v170,v,"[[832 646]
 [801 664]
 [792 675]
 [782 684]
 [772 694]
 [766 707]
 [757 724]
 [755 737]]"
v6019b,v6019b,v,"[[3160 3814]
 [3183 3816]
 [3219 3820]
 [3261 3830]
 [3297 3842]
 [3336 3860]
 [3368 3884]]"
e255,e255,e,"[[502 584]
 [519 590]
 [542 596]
 [567 614]
 [595 635]
 [603 639]
 [615 640]
 [662 650]
 [675 654]]"
e2790,e2790,e,"[[581 480]
 [615 422]
 [636 391]
 [649 366]
 [667 343]
 [681 311]]"
