,ID,condition,coords
e205,e205,e,"[[779.6667 574.6667]
 [843.3333 599.    ]
 [795.     572.5   ]
 [636.     562.    ]
 [635.3333 602.3333]
 [594.6667 549.6667]
 [631.3333 533.    ]
 [660.3333 555.    ]]"
e340,e340,e,"[[686.6667  383.66666]
 [733.3333  407.66666]
 [538.6667  609.6667 ]
 [580.6667  639.     ]]"
d126,d126,d,"[[608.3333  550.6667 ]
 [644.3333  594.6667 ]
 [675.      475.33334]]"
v1020,v1020,v,"[[1105.       327.33334]
 [1063.6666   412.66666]
 [1115.6666   495.33334]]"
v1120,v1120,v,"[[277.33334 518.     ]
 [188.66667 707.3333 ]
 [399.33334 574.6667 ]
 [350.66666 527.3333 ]
 [467.33337 492.66666]]"
e4013,e4013,e,"[[523. 285.]
 [483. 411.]
 [495. 437.]
 [509. 464.]
 [523. 482.]
 [514. 429.]]"
e4036a,e4036a,e,"[[761.      443.66666]
 [863.      512.3333 ]]"
e198,e198,e,"[[614.6667  418.33334]
 [570.      602.3333 ]
 [620.6667  612.3333 ]
 [639.3333  543.     ]
 [622.6667  541.     ]
 [635.3333  424.33334]
 [607.3333  435.66666]
 [673.3333  489.     ]
 [720.6667  529.     ]
 [783.3333  545.     ]
 [694.      426.33334]
 [537.3333  465.     ]
 [548.6667  504.33334]
 [523.3333  544.3333 ]
 [564.      549.     ]
 [551.3333  569.     ]]"
d1894,d1894,d,"[[783. 630.]
 [782. 561.]
 [520. 634.]]"
e207,e207,e,"[[714.5 446. ]
 [775.  474. ]
 [827.  466. ]
 [741.5 510.5]
 [692.5 487. ]
 [804.5 322.5]
 [751.  337. ]
 [810.5 369.5]
 [870.5 347. ]
 [700.  427. ]]"
e307,e307,e,"[[759. 773.]
 [700. 807.]
 [720. 794.]
 [763. 878.]]"
v1079,v1079,v,"[[561.6667 586.    ]
 [583.5    587.    ]
 [637.5    435.5   ]]"
d102,d102,d,"[[650.      389.33334]
 [630.6667  488.66666]
 [569.3333  501.33334]]"
v1004,v1004,v,"[[671.6667 387.    ]
 [640.3333 391.    ]]"
e4046,e4046,e,"[[632.6667  392.66666]
 [680.      470.     ]
 [848.6667  490.     ]]"
e4037,e4037,e,"[[1023.   375. ]
 [ 997.   367. ]
 [ 996.5  313. ]]"
e268,e268,e,"[[556.  516.5]
 [529.5 521.5]
 [501.  557. ]
 [509.  670.5]
 [490.5 682. ]
 [536.5 667. ]
 [588.5 520. ]
 [652.5 658. ]
 [555.5 578. ]
 [626.5 537. ]
 [632.  565.5]
 [655.5 564. ]
 [564.  595. ]
 [590.5 587.5]
 [509.5 594. ]
 [474.  670. ]
 [505.  698.5]
 [518.  634.5]
 [541.5 647. ]]"
e4019a,e4019a,e,"[[473. 647.]
 [402. 718.]
 [413. 755.]]"
e215,e215,e,"[[674.5 358.5]
 [658.5 383.5]
 [852.5 617.5]
 [674.5 505.5]
 [720.  361.5]]"
d595,d595,d,"[[693. 500.]
 [601. 526.]]"
