,ID,condition,coords
e198,e198,e,"[[614.6667  418.33334]
 [570.      602.3333 ]
 [620.6667  612.3333 ]
 [639.3333  543.     ]
 [622.6667  541.     ]
 [635.3333  424.33334]
 [607.3333  435.66666]
 [673.3333  489.     ]
 [720.6667  529.     ]
 [783.3333  545.     ]
 [694.      426.33334]
 [537.3333  465.     ]
 [548.6667  504.33334]
 [523.3333  544.3333 ]
 [564.      549.     ]
 [551.3333  569.     ]]"
d1894,d1894,d,"[[783. 630.]
 [782. 561.]
 [520. 634.]]"
e207,e207,e,"[[714.5 446. ]
 [775.  474. ]
 [827.  466. ]
 [741.5 510.5]
 [692.5 487. ]
 [804.5 322.5]
 [751.  337. ]
 [810.5 369.5]
 [870.5 347. ]
 [700.  427. ]]"
d102,d102,d,"[[650.      389.33334]
 [630.6667  488.66666]
 [569.3333  501.33334]]"
e4046,e4046,e,"[[632.6667  392.66666]
 [680.      470.     ]
 [848.6667  490.     ]]"
e4037,e4037,e,"[[1023.   375. ]
 [ 997.   367. ]
 [ 996.5  313. ]]"
e268,e268,e,"[[556.  516.5]
 [529.5 521.5]
 [501.  557. ]
 [509.  670.5]
 [490.5 682. ]
 [536.5 667. ]
 [588.5 520. ]
 [652.5 658. ]
 [555.5 578. ]
 [626.5 537. ]
 [632.  565.5]
 [655.5 564. ]
 [564.  595. ]
 [590.5 587.5]
 [509.5 594. ]
 [474.  670. ]
 [505.  698.5]
 [518.  634.5]
 [541.5 647. ]]"
e4019a,e4019a,e,"[[473. 647.]
 [402. 718.]
 [413. 755.]]"
e215,e215,e,"[[674.5 358.5]
 [658.5 383.5]
 [852.5 617.5]
 [674.5 505.5]
 [720.  361.5]]"
d595,d595,d,"[[693. 500.]
 [601. 526.]]"
e296a,e296a,e,"[[745.5 534. ]
 [742.5 553.5]
 [764.  567.5]
 [716.  613.5]
 [792.  643. ]
 [866.  610. ]
 [760.5 590.5]
 [740.5 571.5]
 [801.5 606.5]]"
d2112,d2112,d,"[[503. 415.]
 [510. 443.]
 [541. 451.]
 [709. 532.]]"
d433,d433,d,"[[711.6667 536.3333]
 [739.3333 545.    ]]"
d450,d450,d,"[[506.  592. ]
 [484.5 587.5]]"
d1007,d1007,d,"[[2374.  266.]
 [2410.  216.]
 [2472.  354.]]"
