,ID,condition,coords
e213,e213,e,"[[545.  573. ]
 [553.5 585. ]
 [564.5 597. ]
 [576.5 611.5]
 [589.5 624. ]
 [603.  640. ]
 [614.  654. ]
 [625.  665.5]
 [638.5 680. ]
 [655.  688.5]
 [676.  702.5]
 [700.  708. ]]"
d593,d593,d,"[[760.75 691.  ]
 [759.   680.5 ]
 [759.   669.5 ]
 [758.5  660.25]
 [756.25 651.  ]
 [755.25 646.5 ]]"
v6014,v6014,v,"[[ 766.  2551. ]
 [ 780.5 2559.5]
 [ 801.5 2568. ]
 [ 823.5 2575.5]
 [ 856.  2583.5]
 [ 892.5 2589. ]
 [ 920.  2591. ]
 [ 936.  2593.5]
 [ 953.  2597. ]
 [ 964.  2593. ]
 [ 983.5 2581. ]]"
d120,d120,d,"[[620.5  549.5 ]
 [630.25 544.  ]
 [639.25 543.25]
 [646.75 541.75]
 [655.5  538.75]
 [664.75 537.  ]
 [672.5  537.5 ]
 [677.75 534.75]
 [687.   534.  ]
 [695.25 534.25]
 [702.25 535.25]
 [710.   536.75]
 [717.5  538.25]
 [726.   539.  ]
 [734.75 539.75]
 [741.5  542.75]
 [741.75 543.  ]]"
e4019,e4019,e,"[[626.  572. ]
 [635.5 592.5]
 [649.  610.5]
 [662.5 629.5]
 [676.  649.5]
 [682.5 663. ]
 [712.5 679.5]
 [737.  687.5]
 [773.  692. ]
 [796.  687. ]
 [829.  678. ]
 [857.5 659.5]
 [879.  629.5]]"
e192,e192,e,"[[653.25 739.25]
 [663.   729.75]
 [674.5  719.25]
 [685.5  709.5 ]
 [699.5  699.  ]
 [715.   685.5 ]
 [728.75 676.75]
 [736.25 672.25]
 [744.   665.75]
 [752.25 661.25]
 [756.75 657.25]]"
e4007,e4007,e,"[[557.8333  338.83334]
 [573.8333  347.83334]
 [588.1666  355.1667 ]
 [602.5     362.1667 ]
 [615.1666  365.1667 ]
 [624.1666  369.1667 ]
 [633.5     376.5    ]
 [641.1666  383.83334]
 [651.5     388.5    ]
 [665.5     394.83334]
 [675.1666  400.5    ]
 [688.5     411.1667 ]]"
e258,e258,e,"[[647.  609. ]
 [662.5 609.5]
 [674.5 612.5]
 [692.  611.5]
 [706.  613. ]
 [725.5 616. ]
 [745.  621.5]
 [760.  625.5]
 [774.  629. ]
 [796.5 637. ]]"
e237,e237,e,"[[602 639]
 [598 617]
 [596 595]
 [594 579]
 [593 568]
 [588 544]
 [584 525]
 [583 503]
 [584 487]
 [587 467]
 [592 443]]"
e4068,e4068,e,"[[623.5 384.5]
 [633.  366. ]
 [644.5 353. ]
 [651.  338. ]
 [657.5 324.5]
 [662.  315.5]
 [668.5 304.5]
 [673.5 292. ]
 [676.5 284.5]
 [681.5 269.5]]"
